Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1,cDAQ1Mod1/ai0,cDAQ1Mod1/ai1,cDAQ1Mod1/ai2,cDAQ1Mod1/ai3,Load,,,
0,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000000_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000000_1.tif,22.567395,22.567781,-0.001508,-10.383721,-10.430638,-10.389762,0.009366,0.000000,0.000000,0.000000
1,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000001_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000001_1.tif,23.067439,23.067812,-0.000870,-10.383721,-10.430638,-10.389762,0.011240,0.000000,0.000000,0.000000
2,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000002_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000002_1.tif,23.567452,23.567829,-0.000870,-10.383721,-10.430638,-10.389762,0.011240,0.000000,0.000000,0.000000
3,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000003_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000003_1.tif,24.067452,24.067851,-0.000870,-10.383721,-10.430638,-10.389762,0.011240,0.000000,0.000000,0.000000
4,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000004_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000004_1.tif,24.567409,24.567864,-0.001827,-10.383721,-10.430638,-10.389762,0.008430,0.000000,0.000000,0.000000
5,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000005_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000005_1.tif,25.067400,25.068109,-0.001827,-10.383721,-10.430638,-10.389762,0.008430,0.000000,0.000000,0.000000
6,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000006_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000006_1.tif,25.567474,25.567826,-0.000233,-10.383721,-10.430638,-10.389762,0.013113,0.000000,0.000000,0.000000
7,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000007_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000007_1.tif,26.067358,26.067985,-0.000233,-10.383721,-10.430638,-10.389762,0.013113,0.000000,0.000000,0.000000
8,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000008_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000008_1.tif,26.567405,26.567921,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
9,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000009_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000009_1.tif,27.067402,27.067823,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
10,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000010_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000010_1.tif,27.567451,27.568035,-0.000870,-10.383721,-10.430638,-10.389762,0.011240,0.000000,0.000000,0.000000
11,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000011_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000011_1.tif,28.067395,28.067925,-0.001189,-10.383721,-10.430638,-10.389762,0.010303,0.000000,0.000000,0.000000
12,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000012_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000012_1.tif,28.567435,28.567844,-0.001189,-10.383721,-10.430638,-10.389762,0.010303,0.000000,0.000000,0.000000
