Average,,,,,,,,,,,,,E0,,,
Index [1],X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - engr.,eyy [1] - engr.,exy [1] - engr.,e1 [1] - engr.,e2 [1] - engr.,gamma [1] - engr.,ΔL/L0 [1],ΔL [mm],L1 [mm],L0 [mm]
0,1.74E-09,1.97E-09,2.19E-12,0,0,0,0,0,1.06E-18,2.44E-18,-2.44E-18,0.18078,0,0,9.98979,9.98979
1,1.74E-09,1.97E-09,2.19E-12,0.00313694,-0.00378248,0.0032056,-4.01E-05,-6.28E-05,-4.29E-05,3.08E-05,-0.000133706,-0.298139,-6.99E-05,-0.00069878,9.98909,9.98979
2,1.74E-09,1.97E-09,2.19E-12,-0.000173838,-0.00220213,0.00440462,-1.07E-05,-7.21E-05,-2.56E-05,5.22E-05,-0.000134965,-0.0507321,-6.33E-05,-0.000631957,9.98916,9.98979
3,1.74E-09,1.97E-09,2.19E-12,0.000730655,-0.00365208,0.00222543,-5.24E-05,-2.77E-05,-5.85E-05,5.49E-05,-0.00013508,-0.418862,-2.31E-05,-0.000231146,9.98956,9.98979
4,1.74E-09,1.97E-09,2.19E-12,0.00165094,-0.00172705,-0.000211501,-9.77E-05,-5.04E-05,-2.21E-05,-5.03E-06,-0.000143065,-0.183963,-1.83E-05,-0.00018299,9.98961,9.98979
5,1.74E-09,1.97E-09,2.19E-12,0.000724621,-0.00253987,-0.00169827,-2.47E-05,-3.31E-05,4.46E-06,5.95E-05,-0.000117362,0.0152628,-3.67E-05,-0.000366367,9.98943,9.98979
6,1.74E-09,1.97E-09,2.19E-12,-0.00520089,-0.00952945,-0.000710414,-8.52E-05,-1.94E-05,-2.16E-05,3.29E-05,-0.000137499,-0.0754581,3.97E-05,0.000396121,9.99019,9.98979
7,1.74E-09,1.97E-09,2.19E-12,0.00160908,-0.0128284,-0.0323446,-3.99E-05,-6.60E-05,-3.23E-05,3.37E-05,-0.000139556,-0.0463452,-1.60E-06,-1.60E-05,9.98978,9.98979
8,1.74E-09,1.97E-09,2.19E-12,-0.000885965,-0.0128645,-0.0034631,-6.67E-05,6.87E-06,5.52E-05,5.53E-05,-0.000115138,0.472463,6.20E-05,0.000619513,9.99041,9.98979
9,1.74E-09,1.97E-09,2.19E-12,-0.0167164,-0.00398418,0.0127546,-3.87E-05,-4.09E-05,-1.94E-05,4.96E-05,-0.00012923,-0.0514766,5.74E-06,5.73E-05,9.98985,9.98979
10,1.74E-09,1.97E-09,2.19E-12,0.00767894,0.00873897,0.0291792,-7.60E-05,-3.07E-05,7.11E-05,4.04E-05,-0.00014708,0.483749,-2.22E-05,-0.000221374,9.98957,9.98979
11,1.74E-09,1.97E-09,2.19E-12,-0.0189841,0.0116938,0.0138668,-3.17E-06,-1.78E-06,2.92E-05,8.60E-05,-9.10E-05,0.154216,2.81E-05,0.000280936,9.99007,9.98979
12,1.74E-09,1.97E-09,2.19E-12,0.00456352,0.0180627,0.0165084,1.10E-07,3.63E-05,0.000150559,0.000132599,-9.62E-05,0.666315,9.57E-05,0.000955661,9.99075,9.98979
13,1.74E-09,1.97E-09,2.19E-12,-0.00725137,0.0267354,0.0185368,-3.57E-05,-1.47E-05,-8.63E-05,7.26E-05,-0.000122935,-0.513687,4.95E-06,4.94E-05,9.98984,9.98979
14,1.74E-09,1.97E-09,2.19E-12,-0.00139474,0.0299473,0.0215913,-2.39E-05,-2.72E-05,-4.28E-05,5.40E-05,-0.000105066,-0.165543,-2.45E-06,-2.44E-05,9.98977,9.98979
15,1.74E-09,1.97E-09,2.19E-12,-0.000532239,0.0406158,0.0197236,-7.70E-05,-7.77E-07,-2.35E-05,5.27E-05,-0.000130486,-0.0180934,2.87E-05,0.000286313,9.99008,9.98979
16,1.74E-09,1.97E-09,2.19E-12,-0.00356388,0.0415064,0.017007,-3.12E-05,-1.49E-05,-5.51E-05,7.59E-05,-0.000121931,-0.33853,4.91E-05,0.000490117,9.99028,9.98979
17,1.74E-09,1.97E-09,2.19E-12,0.00103309,0.0512483,0.0146527,-9.37E-05,-7.04E-05,5.31E-05,6.52E-06,-0.000170589,0.284601,-1.43E-05,-0.000142528,9.98965,9.98979
18,1.74E-09,1.97E-09,2.19E-12,-0.00130002,0.0548537,0.015553,-0.000107373,-6.40E-05,-9.72E-05,1.73E-05,-0.000188694,-0.551294,-7.34E-05,-0.000732804,9.98906,9.98979
19,1.74E-09,1.97E-09,2.19E-12,-0.00350188,0.0613471,0.0162191,1.23E-05,2.03E-07,-2.74E-05,8.72E-05,-7.46E-05,-0.119902,4.74E-05,0.000473442,9.99027,9.98979
20,1.74E-09,1.97E-09,2.19E-12,-0.0052576,0.066762,0.0167285,-6.78E-05,-3.65E-06,-5.29E-05,6.33E-05,-0.000134717,-0.00740143,4.25E-05,0.000424716,9.99022,9.98979
21,1.74E-09,1.97E-09,2.19E-12,-0.00550359,0.0739561,0.0162097,-3.34E-05,-6.18E-05,-8.25E-05,5.25E-05,-0.000147681,-0.380087,-3.03E-05,-0.000302883,9.98949,9.98979
22,1.74E-09,1.97E-09,2.19E-12,-0.0029445,0.077717,0.0127437,-2.97E-05,-3.73E-06,3.14E-05,7.41E-05,-0.000107493,0.222713,2.14E-05,0.00021333,9.99001,9.98979
23,1.74E-09,1.97E-09,2.19E-12,-0.000190397,0.0876974,0.00970584,-5.39E-05,-2.83E-05,-4.65E-06,4.28E-05,-0.000125058,0.0711769,2.80E-05,0.000280119,9.99007,9.98979
24,1.74E-09,1.97E-09,2.19E-12,-0.00234325,0.0907169,0.00982941,-8.84E-05,-4.86E-05,5.94E-06,3.27E-05,-0.000169621,0.0204393,-2.19E-05,-0.000218443,9.98957,9.98979
25,1.74E-09,1.97E-09,2.19E-12,-0.00130079,0.0987065,0.00406218,-8.26E-05,-1.33E-05,-7.85E-05,5.14E-05,-0.000147329,-0.428448,1.34E-05,0.000133764,9.98993,9.98979
26,1.74E-09,1.97E-09,2.19E-12,-0.00171095,0.101823,0.0021097,-6.56E-05,-3.23E-05,-0.00010947,5.70E-05,-0.000154866,-0.436599,-1.29E-05,-0.000128882,9.98966,9.98979
27,1.74E-09,1.97E-09,2.19E-12,-0.00276577,0.107794,0.00303249,-8.27E-05,-5.56E-05,-5.92E-05,2.13E-05,-0.000159581,-0.455139,-4.32E-05,-0.000431235,9.98936,9.98979
28,1.74E-09,1.97E-09,2.19E-12,-0.0042605,0.114131,0.000267728,-6.98E-06,-1.58E-05,-7.33E-05,8.18E-05,-0.000104574,-0.411615,-1.53E-06,-1.53E-05,9.98978,9.98979
29,1.74E-09,1.97E-09,2.19E-12,-0.00438267,0.124162,-0.000436773,-7.81E-05,-5.07E-05,-3.42E-05,1.84E-05,-0.000147208,-0.220917,-4.58E-06,-4.57E-05,9.98975,9.98979
30,1.74E-09,1.97E-09,2.19E-12,-0.00454007,0.124944,0.00943784,-3.06E-05,-4.26E-05,2.04E-06,4.27E-05,-0.000115839,0.0320368,-1.51E-05,-0.000150382,9.98964,9.98979
31,1.74E-09,1.97E-09,2.19E-12,-0.00523302,0.132134,0.0124986,-7.27E-05,-1.29E-05,-3.04E-05,6.00E-05,-0.000145583,-0.156772,9.64E-06,9.63E-05,9.98989,9.98979
32,1.74E-09,1.97E-09,2.19E-12,-0.00740735,0.137022,0.010918,-4.38E-05,-2.89E-05,-4.58E-05,5.33E-05,-0.000126084,-0.179503,-9.56E-06,-9.55E-05,9.9897,9.98979
33,1.74E-09,1.97E-09,2.19E-12,-0.00528987,0.140959,0.0096758,-4.64E-05,-3.06E-05,-4.13E-05,4.80E-05,-0.000124972,-0.250612,-5.80E-06,-5.79E-05,9.98974,9.98979
34,1.74E-09,1.97E-09,2.19E-12,-0.00274972,0.148816,0.0142521,-1.41E-05,-3.74E-05,-4.09E-05,6.75E-05,-0.000119112,-0.094957,-5.99E-05,-0.000598757,9.98919,9.98979
