"Average",,,,,,,,,,,,,"E0",,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - engr.","eyy [1] - engr.","exy [1] - engr.","e1 [1] - engr.","e2 [1] - engr.","gamma [1] - engr.","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
0,2.73757e-11,-4.87827e-09,-3.70722e-12,0,0,0,0,0,-1.42936e-18,2.56303e-18,-2.56303e-18,-0.202698,0,0,10.0178,10.0178
1,2.73757e-11,-4.87827e-09,-3.70722e-12,5.93995e-05,-0.00133469,-0.0030764,4.52007e-06,4.51857e-06,-7.50147e-06,5.72988e-05,-4.82602e-05,-0.176636,1.01945e-05,0.000102126,10.0179,10.0178
2,2.73757e-11,-4.87827e-09,-3.70722e-12,0.000844446,-0.00302132,-0.00363556,-9.0287e-06,7.71156e-06,-4.75145e-05,6.95608e-05,-7.08779e-05,-0.323176,-3.79479e-06,-3.80155e-05,10.0178,10.0178
3,2.73757e-11,-4.87827e-09,-3.70722e-12,0.000644302,0.00140704,0.000669265,-2.1912e-05,-7.64061e-06,-1.78879e-05,4.38284e-05,-7.3381e-05,-0.246535,-2.28052e-05,-0.000228458,10.0176,10.0178
4,2.73757e-11,-4.87827e-09,-3.70722e-12,0.00038253,-0.00324748,-0.00514515,2.24603e-05,4.77523e-05,6.05013e-06,8.85427e-05,-1.83301e-05,-0.133511,3.92099e-05,0.000392797,10.0182,10.0178
5,2.73757e-11,-4.87827e-09,-3.70722e-12,0.0027804,-0.000843576,-0.00585525,6.54719e-06,-4.7509e-06,-6.3837e-05,6.87079e-05,-6.69117e-05,-0.38623,3.6602e-05,0.000366672,10.0182,10.0178
6,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.0106294,-0.00909092,-0.00845925,-8.2928e-06,6.25789e-06,-3.7229e-05,8.51455e-05,-8.71804e-05,-0.210591,2.85125e-05,0.000285633,10.0181,10.0178
7,2.73757e-11,-4.87827e-09,-3.70722e-12,0.0252716,-0.011589,-0.0615978,9.51393e-06,3.37202e-05,4.32144e-05,0.00010112,-5.78855e-05,0.170204,1.67701e-05,0.000168,10.018,10.0178
8,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.00278268,-0.00864012,-0.0259627,-2.44203e-05,1.69586e-05,3.53562e-06,7.13482e-05,-7.88099e-05,0.220268,2.71856e-05,0.00027234,10.0181,10.0178
9,2.73757e-11,-4.87827e-09,-3.70722e-12,0.00103488,0.00809238,-0.0108228,-2.61751e-05,4.49851e-06,6.03787e-05,6.03735e-05,-8.20501e-05,0.372568,4.04171e-06,4.04891e-05,10.0179,10.0178
10,2.73757e-11,-4.87827e-09,-3.70722e-12,0.0150375,0.0133862,-0.000416001,3.5518e-07,2.29305e-06,1.31484e-05,7.01084e-05,-6.74602e-05,-0.117727,1.86561e-05,0.000186893,10.018,10.0178
11,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.00380141,0.018365,0.0135403,2.25441e-06,2.17482e-05,-5.31889e-06,8.27966e-05,-5.8794e-05,0.19658,4.33588e-05,0.000434361,10.0182,10.0178
12,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.00560176,0.0237765,0.0229679,-4.62676e-06,-2.05915e-06,7.71814e-06,6.6383e-05,-7.30689e-05,0.170152,1.81847e-05,0.000182171,10.018,10.0178
13,2.73757e-11,-4.87827e-09,-3.70722e-12,0.00226384,0.0310007,0.0224981,-1.38098e-05,1.68461e-05,4.14254e-06,7.22137e-05,-6.91773e-05,0.113372,1.82827e-05,0.000183153,10.018,10.0178
14,2.73757e-11,-4.87827e-09,-3.70722e-12,0.00308715,0.0371504,0.0195847,-1.40443e-05,6.54702e-06,4.18455e-05,5.9925e-05,-6.74222e-05,0.283365,-1.20812e-05,-0.000121027,10.0177,10.0178
15,2.73757e-11,-4.87827e-09,-3.70722e-12,0.00318976,0.0397887,0.0209412,-2.30237e-06,6.6023e-06,3.39435e-05,6.43965e-05,-6.00965e-05,0.160822,-1.53819e-05,-0.000154093,10.0177,10.0178
16,2.73757e-11,-4.87827e-09,-3.70722e-12,0.00318511,0.047677,0.0245346,-1.73481e-05,1.91672e-05,3.07107e-05,7.59091e-05,-7.409e-05,0.198776,-7.99294e-06,-8.00717e-05,10.0177,10.0178
17,2.73757e-11,-4.87827e-09,-3.70722e-12,0.00330279,0.0525404,0.0233804,-9.96412e-06,1.3682e-05,4.84471e-05,6.8276e-05,-6.45581e-05,0.266066,1.41729e-05,0.000141981,10.018,10.0178
18,2.73757e-11,-4.87827e-09,-3.70722e-12,0.00372853,0.0604192,0.020416,-1.33281e-06,-1.74646e-05,9.02511e-06,6.09407e-05,-7.97381e-05,0.16866,1.03976e-05,0.000104162,10.0179,10.0178
19,2.73757e-11,-4.87827e-09,-3.70722e-12,0.000825718,0.065403,0.0201364,-1.57193e-05,1.17288e-05,-1.91588e-05,6.18805e-05,-6.58709e-05,-0.130254,1.6882e-06,1.69121e-05,10.0178,10.0178
20,2.73757e-11,-4.87827e-09,-3.70722e-12,0.000107719,0.0681022,0.019918,-5.93044e-06,3.67046e-06,-3.70144e-06,5.67601e-05,-5.90201e-05,0.0463685,2.5347e-05,0.000253921,10.0181,10.0178
21,2.73757e-11,-4.87827e-09,-3.70722e-12,0.000882591,0.0776124,0.0181232,-4.09011e-06,1.64464e-05,1.8167e-06,6.4371e-05,-5.20147e-05,0.0919987,-2.89812e-06,-2.90328e-05,10.0178,10.0178
22,2.73757e-11,-4.87827e-09,-3.70722e-12,0.00111987,0.0836154,0.0153643,-4.02339e-05,2.48504e-07,3.89503e-05,4.93334e-05,-8.93188e-05,0.180893,-1.44093e-05,-0.000144349,10.0177,10.0178
23,2.73757e-11,-4.87827e-09,-3.70722e-12,0.0016673,0.0900927,0.0144635,-1.89205e-05,1.29976e-05,2.72752e-05,6.02257e-05,-6.61487e-05,0.292175,2.16886e-05,0.000217272,10.018,10.0178
24,2.73757e-11,-4.87827e-09,-3.70722e-12,0.00184273,0.0958707,0.00920041,-2.53723e-05,5.25035e-06,1.80092e-05,6.84196e-05,-8.85415e-05,0.143558,-5.53935e-06,-5.54921e-05,10.0178,10.0178
25,2.73757e-11,-4.87827e-09,-3.70722e-12,3.50396e-05,0.101794,0.0103216,-1.06737e-05,8.23275e-06,-1.98667e-05,6.35725e-05,-6.60135e-05,-0.0146161,2.1997e-05,0.000220361,10.018,10.0178
26,2.73757e-11,-4.87827e-09,-3.70722e-12,0.00196332,0.107706,0.0174705,-1.22081e-05,-2.98968e-06,-3.34313e-07,4.8815e-05,-6.40127e-05,-0.0529781,1.24294e-05,0.000124516,10.0179,10.0178
27,2.73757e-11,-4.87827e-09,-3.70722e-12,0.000834522,0.112237,0.0179121,-2.25645e-05,-6.0277e-06,-5.86864e-06,4.91583e-05,-7.77505e-05,-0.085029,-1.11866e-05,-0.000112065,10.0177,10.0178
28,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.000692889,0.118464,0.018346,-3.0167e-05,6.05896e-06,-2.33176e-05,6.45591e-05,-8.86672e-05,-0.126516,-2.93473e-06,-2.93995e-05,10.0178,10.0178
29,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.00194338,0.125275,0.0155891,-2.17138e-05,9.8889e-06,2.77288e-05,6.13482e-05,-7.31731e-05,0.315328,2.45314e-05,0.000245751,10.0181,10.0178
30,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.000639303,0.134644,0.0130333,-1.74116e-05,1.75435e-05,3.38421e-05,6.76665e-05,-6.75345e-05,0.156257,2.72127e-05,0.000272612,10.0181,10.0178
31,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.00229573,0.139374,0.00711026,-1.8875e-05,6.73618e-07,-4.67255e-06,5.28716e-05,-7.1073e-05,-0.104491,5.00574e-06,5.01465e-05,10.0179,10.0178
32,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.00312276,0.143954,0.00299526,-5.28398e-05,3.00297e-05,-2.06335e-06,6.2332e-05,-8.51421e-05,0.031372,3.11767e-05,0.000312322,10.0181,10.0178
33,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.0065064,0.149896,-0.00409712,-7.01177e-06,1.82868e-05,-2.88428e-05,7.54023e-05,-6.41273e-05,-0.247988,1.18391e-05,0.000118602,10.0179,10.0178
34,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.00764958,0.154743,-0.00906776,-2.89462e-06,-9.10438e-06,-1.58952e-05,6.52282e-05,-7.72272e-05,0.0503339,-3.16038e-05,-0.000316601,10.0175,10.0178
35,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.0111411,0.16222,-0.0121354,-2.07495e-05,-2.67502e-06,-4.46568e-06,5.54564e-05,-7.88809e-05,-0.0593016,-2.46205e-06,-2.46644e-05,10.0178,10.0178
36,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.00708672,0.165197,-0.0199535,-2.10406e-05,-5.51715e-07,-2.22055e-05,6.17832e-05,-8.33756e-05,-0.31664,2.75909e-05,0.000276401,10.0181,10.0178
37,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.00737077,0.171718,-0.0147343,-1.56561e-05,1.38548e-06,-4.03783e-05,7.86539e-05,-9.29245e-05,-0.280598,1.40312e-05,0.000140562,10.018,10.0178
38,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.00799415,0.178003,-0.0164247,-3.33407e-05,-1.09691e-05,-2.25964e-06,5.14781e-05,-9.57879e-05,-0.162807,-2.9304e-06,-2.93562e-05,10.0178,10.0178
