Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1,cDAQ1Mod1/ai0,cDAQ1Mod1/ai1,cDAQ1Mod1/ai2,cDAQ1Mod1/ai3,Load,,,
0,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000000_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000000_1.tif,30.102843,30.103116,-0.000870,-10.383721,-10.430638,-10.389762,0.011240,0.000000,0.000000,0.000000
1,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000001_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000001_1.tif,30.602853,30.603005,-0.002146,-10.383721,-10.430638,-10.389762,0.007493,0.000000,0.000000,0.000000
2,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000002_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000002_1.tif,31.102782,31.103106,-0.001827,-10.383721,-10.430638,-10.389762,0.008430,0.000000,0.000000,0.000000
3,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000003_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000003_1.tif,31.602883,31.603227,-0.000870,-10.383721,-10.430638,-10.389762,0.011240,0.000000,0.000000,0.000000
4,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000004_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000004_1.tif,32.102806,32.103096,-0.002464,-10.383721,-10.430638,-10.389762,0.006557,0.000000,0.000000,0.000000
5,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000005_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000005_1.tif,32.602776,32.603083,-0.003102,-10.383721,-10.430638,-10.389762,0.004683,0.000000,0.000000,0.000000
6,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000006_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000006_1.tif,33.102854,33.103224,-0.002464,-10.383721,-10.430638,-10.389762,0.006557,0.000000,0.000000,0.000000
7,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000007_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000007_1.tif,33.602813,33.603175,-0.001189,-10.383721,-10.430638,-10.389762,0.010303,0.000000,0.000000,0.000000
8,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000008_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000008_1.tif,34.102817,34.103138,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
9,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000009_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000009_1.tif,34.602849,34.603248,-0.001827,-10.383721,-10.430638,-10.389762,0.008430,0.000000,0.000000,0.000000
10,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000010_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000010_1.tif,35.102898,35.103104,-0.001189,-10.383721,-10.430638,-10.389762,0.010303,0.000000,0.000000,0.000000
11,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000011_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000011_1.tif,35.602812,35.603058,-0.002146,-10.383721,-10.430638,-10.389762,0.007493,0.000000,0.000000,0.000000
12,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000012_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000012_1.tif,36.102836,36.103123,-0.000870,-10.383721,-10.430638,-10.389762,0.011240,0.000000,0.000000,0.000000
13,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000013_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000013_1.tif,36.602790,36.603109,-0.002146,-10.383721,-10.430638,-10.389762,0.007493,0.000000,0.000000,0.000000
14,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000014_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000014_1.tif,37.102870,37.103025,-0.001508,-10.383721,-10.430638,-10.389762,0.009366,0.000000,0.000000,0.000000
15,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000015_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000015_1.tif,37.602837,37.603107,-0.001508,-10.383721,-10.430638,-10.389762,0.009366,0.000000,0.000000,0.000000
16,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000016_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000016_1.tif,38.102869,38.103268,-0.000870,-10.383721,-10.430638,-10.389762,0.011240,0.000000,0.000000,0.000000
17,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000017_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000017_1.tif,38.602864,38.603260,-0.002464,-10.383721,-10.430638,-10.389762,0.006557,0.000000,0.000000,0.000000
18,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000018_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000018_1.tif,39.102772,39.103112,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
