"Average",,,,,,,,,,,,,"E0",,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - engr.","eyy [1] - engr.","exy [1] - engr.","e1 [1] - engr.","e2 [1] - engr.","gamma [1] - engr.","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
0,-6.1597e-11,-6.61092e-09,3.90392e-12,0,0,0,0,0,-1.18472e-18,2.84834e-18,-2.84834e-18,-0.0874874,0,0,10.0066,10.0066
1,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.00665488,-9.36566e-05,-0.00266613,3.32372e-05,1.49128e-05,-7.27003e-06,9.75499e-05,-4.93998e-05,0.10836,-1.40938e-05,-0.000141031,10.0065,10.0066
2,-6.1597e-11,-6.61092e-09,3.90392e-12,6.37477e-05,0.000324819,-0.00598818,2.67334e-05,1.24729e-05,-8.13726e-06,9.14944e-05,-5.22881e-05,0.230392,2.15068e-05,0.00021521,10.0068,10.0066
3,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.000351334,-0.000122732,-0.00560678,3.71338e-05,2.74249e-05,-1.23903e-05,9.50141e-05,-3.04555e-05,0.0955343,-2.2817e-06,-2.28321e-05,10.0066,10.0066
4,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.00271223,0.000743683,-0.00399276,1.02833e-05,1.79797e-05,7.77285e-07,7.88821e-05,-5.0619e-05,0.117967,2.05355e-05,0.000205491,10.0068,10.0066
5,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.00383407,-0.000393374,-0.00446103,4.50951e-06,3.30521e-05,2.97123e-05,8.26644e-05,-4.51027e-05,0.470102,2.64451e-05,0.000264626,10.0069,10.0066
6,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0133732,-0.00249528,-0.0357978,2.07948e-05,2.84322e-06,1.91624e-05,8.59171e-05,-6.22791e-05,0.164479,-5.9582e-05,-0.000596214,10.006,10.0066
7,-6.1597e-11,-6.61092e-09,3.90392e-12,0.00827904,-0.00106299,0.00156145,1.51518e-05,1.29709e-05,1.68863e-05,8.4241e-05,-5.61183e-05,0.225307,1.77522e-05,0.00017764,10.0068,10.0066
8,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0110786,0.00327908,-0.0279781,6.04212e-07,9.90682e-06,2.94969e-05,9.01096e-05,-7.95985e-05,0.393797,-7.48388e-06,-7.48883e-05,10.0065,10.0066
9,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0199327,0.00725688,0.0117295,1.86548e-05,1.24419e-05,1.75027e-06,9.77941e-05,-6.66975e-05,0.17744,1.11029e-05,0.000111102,10.0067,10.0066
10,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0144177,0.0163516,-0.0108667,-6.8322e-06,-2.46126e-06,-1.84187e-05,7.47182e-05,-8.40116e-05,-0.0540645,-2.68963e-05,-0.000269141,10.0063,10.0066
11,-6.1597e-11,-6.61092e-09,3.90392e-12,0.00925535,0.0236587,0.023383,-1.06629e-05,2.85779e-05,-9.61968e-06,9.2601e-05,-7.46861e-05,0.0892982,1.68255e-05,0.000168366,10.0068,10.0066
12,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.011875,0.0272186,0.0150291,9.12136e-06,1.30289e-05,-3.22986e-05,8.50377e-05,-6.28874e-05,-0.111189,9.05534e-06,9.06134e-05,10.0067,10.0066
13,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0258445,0.0343039,0.0130482,2.78712e-05,2.17349e-05,-3.02558e-05,9.4994e-05,-4.53879e-05,-0.00263155,3.16827e-06,3.17037e-05,10.0066,10.0066
14,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.00393279,0.0412228,0.0270885,-2.16272e-05,1.1544e-05,2.15059e-05,6.26025e-05,-7.26857e-05,0.183609,3.91499e-06,3.91758e-05,10.0067,10.0066
15,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0131829,0.0496316,0.0308107,3.49665e-05,1.27328e-05,6.74701e-06,0.00010804,-6.03403e-05,0.265931,1.89887e-06,1.90012e-05,10.0066,10.0066
16,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0237107,0.0506837,0.0224252,5.13552e-06,2.05134e-05,1.69064e-05,9.14699e-05,-6.5821e-05,0.355559,2.52929e-05,0.000253096,10.0069,10.0066
17,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0126565,0.0587595,0.029976,2.00098e-05,1.70999e-05,1.04169e-05,0.000100051,-6.29412e-05,0.273536,5.67036e-06,5.67411e-05,10.0067,10.0066
18,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0132118,0.06347,0.0258861,-2.41253e-05,-9.55604e-06,-2.09296e-05,6.3283e-05,-9.69643e-05,-0.0316365,-1.84065e-05,-0.000184187,10.0064,10.0066
19,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0236757,0.0711648,0.0265855,-1.84652e-05,4.38963e-05,3.32166e-05,0.000103125,-7.76941e-05,0.306367,4.53806e-05,0.000454107,10.0071,10.0066
20,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0164714,0.0771098,0.028241,-5.50977e-05,4.0867e-07,2.70475e-05,6.0899e-05,-0.000115588,0.505147,1.26248e-05,0.000126331,10.0067,10.0066
21,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0151335,0.0814914,0.0216199,-0.000127521,-3.55196e-05,0.000146212,4.2403e-05,-0.000205444,0.911417,-2.84833e-05,-0.000285021,10.0063,10.0066
22,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0201508,0.087631,0.0164969,-1.51104e-05,2.63256e-05,-9.35018e-06,8.56221e-05,-7.44069e-05,0.0637042,2.82451e-05,0.000282638,10.0069,10.0066
23,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0172184,0.0958426,0.014635,1.48349e-05,2.44274e-05,3.43808e-06,0.000106523,-6.72609e-05,0.092244,2.80785e-05,0.000280971,10.0069,10.0066
24,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0204087,0.0988941,0.0197719,-2.21869e-05,-2.87301e-06,1.92406e-05,7.51983e-05,-0.000100258,0.302217,9.91278e-06,9.91934e-05,10.0067,10.0066
25,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0175459,0.104972,0.00890661,-9.85081e-06,3.74717e-05,-1.65566e-05,0.000105485,-7.78645e-05,0.101706,2.54873e-05,0.000255041,10.0069,10.0066
26,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0121388,0.114275,0.00457618,-4.36708e-05,2.77528e-05,5.50812e-05,7.69328e-05,-9.28508e-05,0.587873,1.06658e-05,0.000106728,10.0067,10.0066
27,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0195209,0.114357,0.00979164,-3.07081e-06,2.40831e-05,3.00386e-05,8.59583e-05,-6.49461e-05,0.459419,-3.86102e-06,-3.86357e-05,10.0066,10.0066
28,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0135813,0.12376,0.00437446,2.82541e-07,2.35743e-05,1.70615e-05,8.78623e-05,-6.40054e-05,0.103909,9.42114e-06,9.42737e-05,10.0067,10.0066
29,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0122959,0.129993,0.0140237,6.63469e-06,2.01162e-05,-1.06141e-06,9.49429e-05,-6.8192e-05,0.0521366,2.84585e-05,0.000284773,10.0069,10.0066
30,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0114828,0.13359,0.0159837,3.52593e-06,2.13946e-05,-1.09643e-05,9.37346e-05,-6.8814e-05,-0.00274494,-1.16103e-05,-0.00011618,10.0065,10.0066
31,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0136753,0.141731,0.0214192,-4.07335e-06,6.01302e-05,4.09277e-06,0.000113987,-5.79299e-05,0.136471,2.48467e-05,0.000248631,10.0069,10.0066
32,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0148617,0.146479,0.0135127,-1.19895e-05,3.74058e-05,2.81257e-05,8.69448e-05,-6.15285e-05,0.327127,2.28072e-05,0.000228223,10.0068,10.0066
33,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0170659,0.154095,0.0151878,-1.94761e-05,1.06813e-05,3.78839e-05,7.8307e-05,-8.71018e-05,0.366911,2.04513e-05,0.000204649,10.0068,10.0066
34,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0173928,0.158339,0.0198032,-1.51995e-05,2.8226e-05,1.60486e-05,9.15989e-05,-7.85725e-05,0.264786,1.91745e-05,0.000191872,10.0068,10.0066
35,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0177766,0.164896,0.0178254,-1.07179e-05,3.99233e-05,6.67776e-06,0.000100389,-7.11833e-05,0.301344,2.20931e-05,0.000221077,10.0068,10.0066
36,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0171709,0.169533,0.0163836,-2.77244e-05,3.25323e-05,1.26752e-05,9.31784e-05,-8.83705e-05,0.10524,2.86715e-05,0.000286905,10.0069,10.0066
37,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0179957,0.176682,0.0201167,-1.37365e-05,1.60884e-05,-5.77938e-06,7.4774e-05,-7.24221e-05,0.066729,-2.96426e-06,-2.96622e-05,10.0066,10.0066
38,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0170466,0.181412,0.0196205,-6.93401e-06,-3.95991e-06,1.42521e-06,7.56535e-05,-8.65474e-05,0.154219,-4.49243e-06,-4.4954e-05,10.0066,10.0066
39,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0174281,0.188337,0.0206822,7.95454e-06,2.3008e-05,1.17471e-05,9.80748e-05,-6.71123e-05,0.329928,-2.70513e-06,-2.70692e-05,10.0066,10.0066
40,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0201262,0.194285,0.0228438,-3.12617e-06,1.00277e-05,3.59923e-05,8.83792e-05,-8.14776e-05,0.317025,-1.79174e-06,-1.79293e-05,10.0066,10.0066
41,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0191325,0.203761,0.0232787,-3.35922e-05,1.57731e-05,-1.06147e-05,8.44109e-05,-0.00010223,0.197931,-9.24671e-06,-9.25283e-05,10.0065,10.0066
42,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0175677,0.20489,0.0186338,-1.75083e-05,2.11951e-05,1.36864e-05,8.09453e-05,-7.72585e-05,0.153712,-5.39606e-06,-5.39963e-05,10.0066,10.0066
43,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.014124,0.213559,0.0189551,1.61093e-05,2.59257e-05,1.47848e-06,0.000103819,-6.17842e-05,0.170539,1.99148e-05,0.000199279,10.0068,10.0066
44,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0150537,0.219608,0.0188171,-2.22888e-05,7.10869e-06,4.34667e-05,7.17892e-05,-8.69693e-05,0.255218,2.89858e-06,2.9005e-05,10.0066,10.0066
45,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0163046,0.224311,0.0190888,-7.25305e-06,3.65975e-05,1.15166e-05,9.12413e-05,-6.18968e-05,0.0654934,7.28864e-06,7.29346e-05,10.0067,10.0066
46,-6.1597e-11,-6.61092e-09,3.90392e-12,-0.0176789,0.229888,0.0132915,1.99227e-05,3.28266e-05,5.18682e-05,0.000105473,-5.27235e-05,0.439883,1.90957e-05,0.000191084,10.0068,10.0066
47,-6.1597e-11,-6.61092e-09,3.90392e-12,0.00579822,0.235563,0.0109037,1.26425e-05,1.19002e-05,6.42676e-06,8.86372e-05,-6.40945e-05,-0.0178092,-4.51563e-06,-4.51862e-05,10.0066,10.0066
48,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0280551,0.241405,-0.00997243,1.1492e-05,2.49148e-05,-3.44275e-05,9.39069e-05,-5.75001e-05,-0.388788,1.70234e-05,0.000170346,10.0068,10.0066
49,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0429075,0.24505,-0.127237,3.66858e-05,2.76151e-05,-8.14578e-05,0.000111244,-4.69427e-05,-0.509654,1.03402e-05,0.00010347,10.0067,10.0066
50,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0527908,0.246558,-0.221773,1.25043e-05,3.64559e-05,6.44427e-06,0.000100934,-5.19734e-05,-0.0947271,1.87202e-05,0.000187326,10.0068,10.0066
51,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0578615,0.24664,-0.300577,3.26922e-05,3.93545e-05,-4.48994e-05,0.000128807,-5.67607e-05,-0.372509,2.83358e-05,0.000283546,10.0069,10.0066
52,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0645269,0.249915,-0.367807,2.47631e-05,6.93569e-05,-2.6883e-05,0.00015287,-5.87505e-05,-0.326456,4.16027e-05,0.000416302,10.007,10.0066
53,-6.1597e-11,-6.61092e-09,3.90392e-12,0.067812,0.249746,-0.412683,-5.17549e-06,7.74599e-05,-3.89281e-05,0.000144528,-7.22434e-05,-0.248866,7.41378e-05,0.000741868,10.0074,10.0066
54,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0698193,0.252476,-0.445474,-6.51062e-06,0.000114623,-6.94994e-05,0.000181009,-7.28968e-05,-0.608522,0.000128696,0.00128781,10.0079,10.0066
55,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0686295,0.256394,-0.470994,-7.55679e-06,0.000141698,-8.12224e-05,0.000203325,-6.91837e-05,-0.544134,0.000158147,0.00158252,10.0082,10.0066
56,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0718109,0.256021,-0.491718,-5.50884e-05,0.000166561,-9.90897e-05,0.000222672,-0.000111199,-0.610155,0.000160933,0.0016104,10.0082,10.0066
57,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0752919,0.254918,-0.513568,-2.76293e-05,0.000204743,-8.64595e-05,0.000273986,-9.68723e-05,-0.642113,0.000214139,0.00214281,10.0088,10.0066
58,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0747668,0.259378,-0.523113,-4.2478e-05,0.000233016,-8.51368e-05,0.000284704,-9.41663e-05,-0.638442,0.00023725,0.00237407,10.009,10.0066
59,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0748273,0.261608,-0.534842,-5.29573e-05,0.00024582,-7.13834e-05,0.000287355,-9.44924e-05,-0.700628,0.000288157,0.00288348,10.0095,10.0066
60,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0775039,0.259372,-0.545905,-6.98815e-05,0.000286174,-9.98079e-05,0.000328217,-0.000111924,-0.657733,0.000317834,0.00318044,10.0098,10.0066
61,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0765601,0.263313,-0.549446,-5.77923e-05,0.000317716,-9.6706e-05,0.00035528,-9.53556e-05,-0.811771,0.000360359,0.00360598,10.0102,10.0066
62,-6.1597e-11,-6.61092e-09,3.90392e-12,0.074241,0.262965,-0.554971,-5.98538e-05,0.000330104,-6.1738e-05,0.000368882,-9.86322e-05,-0.623167,0.000348478,0.00348708,10.0101,10.0066
63,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0752853,0.2649,-0.560664,-0.000104791,0.000353525,-9.07702e-05,0.000393266,-0.000144531,-0.639351,0.000377205,0.00377454,10.0104,10.0066
64,-6.1597e-11,-6.61092e-09,3.90392e-12,0.073474,0.265753,-0.56637,-4.6366e-05,0.000388038,-9.01565e-05,0.000423656,-8.19843e-05,-0.813787,0.000391629,0.00391888,10.0105,10.0066
65,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0728177,0.265263,-0.566126,-8.16363e-05,0.000392439,-8.55198e-05,0.000425648,-0.000114846,-0.689791,0.000418741,0.00419018,10.0108,10.0066
66,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0728898,0.267072,-0.570078,-0.000108932,0.000402988,-6.22173e-05,0.000431796,-0.00013774,-0.642801,0.000440718,0.00441009,10.011,10.0066
67,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0717277,0.268966,-0.571441,-0.000102037,0.000419198,-9.29421e-05,0.000447227,-0.000130067,-0.844168,0.000450626,0.00450924,10.0111,10.0066
68,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0715718,0.267172,-0.574515,-0.000131178,0.00044619,-8.23298e-05,0.000469146,-0.000154134,-0.84644,0.00050239,0.00502723,10.0116,10.0066
69,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0706674,0.269143,-0.576183,-8.79198e-05,0.000460401,-0.000110315,0.000498364,-0.000125883,-0.776384,0.000496413,0.00496741,10.0116,10.0066
70,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0694794,0.269676,-0.582603,-0.000116169,0.000455042,-9.29845e-05,0.000488992,-0.000150119,-0.66558,0.000516046,0.00516387,10.0118,10.0066
71,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0675731,0.272985,-0.581091,-0.000165889,0.00047242,-8.55868e-05,0.000492686,-0.000186155,-0.787685,0.000526385,0.00526733,10.0119,10.0066
72,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0668247,0.271035,-0.58241,-9.15473e-05,0.000489209,-9.96671e-05,0.000519383,-0.000121722,-0.827658,0.0005504,0.00550764,10.0121,10.0066
73,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0689211,0.273472,-0.589329,-0.000133555,0.000554184,-7.81292e-05,0.000576038,-0.000155409,-0.693282,0.000596399,0.00596793,10.0126,10.0066
74,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0677009,0.272144,-0.591896,-0.000167104,0.00052052,-7.53114e-05,0.000537145,-0.000183729,-0.799457,0.000586969,0.00587357,10.0125,10.0066
75,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0654441,0.275171,-0.591458,-0.000146804,0.000518795,-8.99101e-05,0.000548283,-0.000176291,-0.742607,0.000591406,0.00591797,10.0125,10.0066
76,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0658809,0.274459,-0.591745,-0.00017083,0.000534399,-0.000106604,0.000564937,-0.000201367,-0.795388,0.000598291,0.00598687,10.0126,10.0066
77,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0660893,0.274803,-0.593726,-0.00019262,0.000551223,-0.000111503,0.000584228,-0.000225626,-0.902349,0.000623052,0.00623464,10.0129,10.0066
78,-6.1597e-11,-6.61092e-09,3.90392e-12,0.066306,0.274526,-0.599254,-0.000140807,0.000609227,-0.000188324,0.000646916,-0.000178496,-1.07217,0.000697486,0.00697948,10.0136,10.0066
79,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0659104,0.278808,-0.602738,-0.000223748,0.000574258,-0.000125942,0.000601873,-0.000251364,-1.04779,0.000683465,0.00683917,10.0135,10.0066
80,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0668876,0.278201,-0.597008,-0.000192441,0.000586954,-0.000106892,0.000622544,-0.000228031,-0.87712,0.000718472,0.00718947,10.0138,10.0066
81,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0649906,0.278809,-0.599804,-0.000216142,0.000612574,-0.000122662,0.000651209,-0.000254776,-0.886274,0.000731969,0.00732453,10.0139,10.0066
82,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0662625,0.277512,-0.60187,-0.000192839,0.000644884,-0.000141394,0.000691643,-0.000239598,-1.00108,0.000751553,0.0075205,10.0141,10.0066
83,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0644273,0.281487,-0.602702,-0.000162502,0.000628925,-0.000109882,0.000685597,-0.000219175,-0.812185,0.000818589,0.00819131,10.0148,10.0066
84,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0636313,0.281263,-0.602826,-0.000273674,0.000610878,-8.86936e-05,0.000655263,-0.000318059,-0.767399,0.000770956,0.00771467,10.0143,10.0066
85,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0636538,0.284432,-0.604284,-0.000217507,0.000636779,-0.000167248,0.000696341,-0.00027707,-1.03965,0.000811629,0.00812166,10.0147,10.0066
86,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0630905,0.285445,-0.60664,-0.000228157,0.000627292,-0.000140697,0.000695713,-0.000296578,-1.03877,0.000786406,0.00786927,10.0145,10.0066
87,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0641577,0.283646,-0.610021,-0.00029283,0.000613049,-0.00017389,0.000678748,-0.000358529,-1.06493,0.000779671,0.00780187,10.0144,10.0066
88,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0623269,0.285884,-0.611049,-0.00023175,0.000671469,-0.000182331,0.000752688,-0.000312969,-1.07841,0.000850234,0.00850797,10.0151,10.0066
89,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0638178,0.287069,-0.610799,-0.000257361,0.000692509,-0.000175081,0.000767917,-0.000332768,-1.05094,0.000874447,0.00875026,10.0154,10.0066
90,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0629174,0.288914,-0.614498,-0.000248472,0.000684008,-0.000170435,0.000784578,-0.000349042,-0.962495,0.000885826,0.00886412,10.0155,10.0066
91,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0632632,0.289482,-0.616539,-0.000241835,0.00069403,-0.000213643,0.000803003,-0.000350807,-1.07738,0.000924888,0.009255,10.0159,10.0066
92,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0634717,0.291038,-0.614307,-0.00024223,0.000726936,-0.000184276,0.000832679,-0.000347974,-1.06413,0.000941793,0.00942417,10.016,10.0066
